adc_file,source_file,mode,chunk_size,chunk_index,original_offset,original_size,compressed_size,compression_ratio,best_compressor,entropy,text_ratio,zero_ratio,unique_byte_count,feature_size_bytes
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1504,394264576,262144,104,0.000396728515625,zstd_19,0.0066727787465866726,0.000324249267578125,0.99957275390625,14,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1505,394526720,262144,278,0.00106048583984375,zstd_3,4.264691045324041,0.2657966613769531,0.22806930541992188,117,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1506,394788864,262144,1872,0.00714111328125,lzma_6,4.770722337574482,1.0,0.0,46,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1507,395051008,262144,180432,0.68829345703125,lzma_6,7.274476954108996,0.45127105712890625,0.002193450927734375,256,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1508,395313152,262144,67,0.000255584716796875,zstd_10,1.728282418908997,0.04412841796875,0.76470947265625,17,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1509,395575296,262144,262144,1.0,store,7.999306524263797,0.38210296630859375,0.003826141357421875,256,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1510,395837440,262144,8649,0.032993316650390625,zstd_19,4.472583918906022,1.0,0.0,34,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1511,396099584,262144,104,0.000396728515625,zstd_19,0.0066727787465866726,0.000324249267578125,0.99957275390625,14,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1512,396361728,262144,1872,0.00714111328125,lzma_6,4.776024604771669,1.0,0.0,46,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1513,396623872,262144,104,0.000396728515625,zstd_19,0.0066727787465866726,0.000324249267578125,0.99957275390625,14,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1514,396886016,262144,182604,0.6965789794921875,lzma_6,7.254600441073229,0.4647407531738281,0.002063751220703125,256,262144
